cid,text,time,author,channel,votes,photo,heart,reply,time_parsed,channel
UgwMynW6EePvU629ETB4AaABAg,"Alazraki : todo para ti todo está mal . No mames. Si eres tan chingon, por qué no das ideas buenas . Pareses una vieja Molina.",hace 1 día,Motorola E20,UCchmkGhYHJ-zKZ3Dlwab_kQ,0,https://yt3.ggpht.com/ytc/AMLnZu-CKZBIaqFfW92OIGg1TewmIKClktDDr8HuG9eqHfM5s6I6evq1OqiXErUwCFVX=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgyQEUqLbGmHNKi9FQR4AaABAg,"Estos títulos. : Son mierda, como el programa",hace 1 día,Motorola E20,UCchmkGhYHJ-zKZ3Dlwab_kQ,0,https://yt3.ggpht.com/ytc/AMLnZu-CKZBIaqFfW92OIGg1TewmIKClktDDr8HuG9eqHfM5s6I6evq1OqiXErUwCFVX=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgyHNB5AhRc1hfONokd4AaABAg,"Amlo, la DEA te espera, y lo sabes, por eso te quieres quedar más tiempo en la silla ....",hace 1 día,angel torres,UCzD3qjE-1hf77i5_Owzp_mQ,2,https://yt3.ggpht.com/ytc/AMLnZu_onHgGrxcnKjy1b380DfBeo0ilJi_P_tQhew=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgxLHeUks0o_zw1aQs14AaABAg,Sigan llorando prianista.. ustedes no nos representan..,hace 1 día,Janki Sanchez López,UCfKVbH248HI8qMsiiD4GTBw,0,https://yt3.ggpht.com/ytc/AMLnZu9vAGmTtWCH5N1C3YSl9oq470KfPZpvHIqqEEDFctWX2TGiSvpvslP5xi7pxQU_=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
Ugz67HM1SsbQOKNoP_l4AaABAg,Peeeeeeeeero hagan algo! Sentados no se va a lograr,hace 1 día,ricardo mendoza,UC1i7iwfzpU391N-e1O0m8VQ,0,https://yt3.ggpht.com/ytc/AMLnZu_3c_cSS0usDElQauLlzi0bDLMd-l-vSOKHQak9MolD9Ihu688HE_UPyhOodCGv=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgxCN_Rv4bBf3SrJt994AaABAg,luchen también por eliminar el matrimonio igualitario y el aborto.,hace 1 día (editado),Cami_facha,UCqJ-hhfIzLt2nnudm9tcR5g,0,https://yt3.ggpht.com/8lWpSmHuQc9ZDD0pYxIiy81tjXcXBnbGJRYPEWDHMW-dnfRf6ESxNbh95sfiTvgHn9sULzRNQbg=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgzJUqkZAJRtihL-cTh4AaABAg,ANDRÉS MANUEL LÓPEZ OBRADOR Y ALEJANDRO MORENO ESTAN ANA ANDO PERO DE UNDIR A OPOSITORES CORRUPTOS ECHEVERRÍA A PEÑA NIETO WACHICOLEROS ASESINOS EXTORCIONADORES PRIVATIZADORES RATOTOTAAAAS,hace 1 día,Galdino Muños,UCuFw4HVzhUSg3LwT_MAWYUg,0,https://yt3.ggpht.com/ytc/AMLnZu95ksDAKD5uG6bORDdt7Rjf8_rbsbLzGc_ESra5nA3im9WsfvEvf3vnmqXz1ggk=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgylolmKaNcZZbtJxqV4AaABAg,Alianza si pero sin ALITO,hace 1 día,maria asuncion bribiesca,UCNraox7ioCbF-NsndJzcv2g,5,https://yt3.ggpht.com/ytc/AMLnZu-chyNcjjiKrzhdf8s8ydr9v17Ne9YnaaeYcWt4iA=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgyjmRfTQukGz1OiW-54AaABAg,"Toda mi admiración y respeto para la gran dama de hierro, por su valentía para decir y sacar a flote todo lo obscuro del bulto que tenemos como presidente",hace 1 día,Carlos Villalobos,UClI_W3OmrA-OBL4qE6f6gpA,2,https://yt3.ggpht.com/ytc/AMLnZu_WDXPBXdoACv3f2y6aSLRq9mlcYWCeSrgHdQsRxczPyr8xiVYpUjWMKLyCRr6B=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
Ugy2mtD6bpHg6HIz0aF4AaABAg,AMLOVE 🇲🇽❤️,hace 1 día,Sares Flores,UCV-aXdjiheOoEaWwFheP53Q,0,https://yt3.ggpht.com/ytc/AMLnZu-lyKMvmAAOtB0khMBlfB6DX3DqYAuhxuqkfw=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
Ugww14L6-cBlD-azSrZ4AaABAg,"Juar, juar, uar, juar, juar, juar, juar, juar, pinches ridiculos, juar, juar, juar, juar, jura, juar, ya la tienen adentro, solo les queda mover cadensiosamente las caderas juar, juar, juar, juar, juar, juar",hace 1 día,Jorge Rodriguez,UCg8EmKQzbi5Yn-xQnyn5zLg,0,https://yt3.ggpht.com/ytc/AMLnZu88rkOoOm9JtqvsQ96rve7ohAxUb6QM565SJA=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
Ugx_GdCRQ9AOtR6qYkJ4AaABAg,"Pinches orates juar, juar, juar, juar, juar, juar, juar",hace 1 día,Jorge Rodriguez,UCg8EmKQzbi5Yn-xQnyn5zLg,0,https://yt3.ggpht.com/ytc/AMLnZu88rkOoOm9JtqvsQ96rve7ohAxUb6QM565SJA=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgwOqGv-p2cTlUlUqs54AaABAg,No vean esta mierda de programa y a las mierdas del cacasraky y el saco de pus,hace 1 día,Jorge Rodriguez,UCg8EmKQzbi5Yn-xQnyn5zLg,0,https://yt3.ggpht.com/ytc/AMLnZu88rkOoOm9JtqvsQ96rve7ohAxUb6QM565SJA=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgzvIXIj1Xb7zTgpPZp4AaABAg,Hola así lo haremos todos los días de aquí en adelante,hace 1 día,Katy Cuevas,UCCRoPTnCuchQM_RxbWAFOdw,2,https://yt3.ggpht.com/ytc/AMLnZu8HjjLJZOa4PxL0cxj-6pMWkn2WSwOQ8gHdng=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgzCc6kLLKsbsOAMGBN4AaABAg,"cómo le podemos creer, si en su programa dicen que entre más mentiras diga mejor le va :S",hace 1 día,neftali Castro,UCm0xLMSF3d0EvCujFmjkzpA,2,https://yt3.ggpht.com/ytc/AMLnZu8Or4Ospgz07axOAXu5WQdacDsVyTMTG04D3mw_kw=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
UgzVlx1rnLjCAkrSn914AaABAg,Ahora repelan del CARA DE SIMIO cuando ELLOS dejaron que ese SATRAPA sinverguenza atacara a la Sra Beatriz. Lo que no tienen estos dos es un cacho de verguenza.!!!!,hace 1 día,Rosalia1949,UCjhEjwCgCt3-sLc2k3KNfZg,1,https://yt3.ggpht.com/ytc/AMLnZu_PRzD4LmPg5mIekgGNaOTLfEKycZdS5Z7A40Bf=s176-c-k-c0x00ffffff-no-rj,false,false,1666303445,1
Ugzr7jKdJnd5ioCDMiR4AaABAg,"No puede ser esto es un caos, volvamos a votar otra ves por los que nos saquearon 90 años, mi voto es para los que si saben robar y no los mensos que ni saben robar.
Apoyo total a los bandidos del PRI y PAN.
Saludos a Carlos kakasraki nariz de tuna 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",hace 2 días,Gilberto Sandoval,UCwpYeOF34LUZgJUgHh4Y3vg,0,https://yt3.ggpht.com/ytc/AMLnZu-W0MhGpD7b164o1dHG7mRoEaIWb4VVcXAwZQ=s176-c-k-c0x00ffffff-no-rj,false,false,1666217045,1
